Farm_ID,State,District,Crop,Season,Farm_Area_Hectares,Rainfall_mm,Avg_Temperature_C,Humidity_pct,Sunlight_Hours_Day,Soil_pH,Soil_Moisture_pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Irrigation_Method,Fertilizer_kg_ha,Pesticide_Litre_ha,Seed_Quality_Score,Yield_Tonnes_Ha,Production_Tonnes,Market_Price_INR_Tonne,Total_Cost_INR,Revenue_INR,Profit_INR,Water_Used_m3,Water_Efficiency_t_per_1000m3,Disease_Pest_Risk_pct,Yield_Metric_t_ha,Profit_Margin_Pct,Water_Productivity_t_m3,Total_NPK_kg_ha,Cost_Per_Tonne_INR,Pesticide_Risk_Ratio
SF10324,Tamil Nadu,Erode,Rice,Kharif,7.02,978.4,30.9,66.1,6.5,6.77,33.5,164,59,38.6,Rainfed,307.9,7.16,0.8,3.01,21.13,22344,610824,472129,-138695,5559,3.801,45.7,3.01,-29.37650515,0.003801043,261.6,28907.90345,0.156673961
SF10325,Punjab,Ludhiana,Sugarcane,Zaid,14.07,80,32.7,49.7,6.4,6.88,18.4,152.7,44.6,82.6,Drip,253.2,4.73,0.92,41.51,584.05,3670,942002,2143464,1201462,22813,25.602,30.1,41.51,56.05235264,0.025601631,279.9,1612.879034,0.157142857
SF10326,Maharashtra,Nashik,Maize,Rabi,7.96,477.9,22.1,64.3,9,7.17,30.5,118.3,52.7,112.3,Flood,223.6,4.73,0.88,2.39,19.02,20060,596875,381541,-215334,4794,3.967,40.5,2.39,-56.43797128,0.003967459,283.3,31381.44059,0.116790123
SF10327,Andhra Pradesh,Krishna,Sugarcane,Rabi,2.35,533.6,20.6,57.1,6.2,6.23,22,114.4,76.9,109.1,Sprinkler,189.4,2.98,0.95,49.62,116.61,3585,171900,418047,246147,4305,27.087,51.1,49.62,58.8802216,0.027087108,300.4,1474.144585,0.058317025
SF10328,Madhya Pradesh,Indore,Groundnut,Rabi,6.23,87.1,27.3,45.3,7.8,6.05,24.3,93.7,47.6,98.3,Flood,108.3,5.88,0.95,1.1,6.85,46950,454076,321608,-132468,4504,1.521,33.7,1.1,-41.1892739,0.00152087,239.6,66288.46715,0.174480712
SF10329,Andhra Pradesh,Guntur,Groundnut,Kharif,2.76,1059.6,29.3,64,7.1,7.11,36.1,151.2,52.3,99.4,Flood,223.1,5.61,0.83,1.6,4.42,65416,201733,289139,87406,1748,2.529,55.6,1.6,30.22975109,0.002528604,302.9,45640.95023,0.100899281
SF10330,Andhra Pradesh,Krishna,Maize,Kharif,0.77,1112,28.1,91,6.1,7.4,33.3,89.7,35.3,76.1,Drip,115.1,8.59,0.85,1.79,1.38,24141,45482,33315,-12167,356,3.876,54.7,1.79,-36.5210866,0.003876404,201.1,32957.97101,0.157038391
SF10331,Tamil Nadu,Erode,Groundnut,Rabi,11.17,159.6,25.7,71.8,8,6.3,19.9,132.3,71,94.7,Rainfed,199.4,8.73,0.77,1.16,12.96,57693,716530,747701,31171,2785,4.654,23.4,1.16,4.16891244,0.004653501,298,55287.80864,0.373076923
SF10332,Telangana,Nalgonda,Chilli,Kharif,13.02,976.8,31.6,85.8,6.3,6.47,32.9,125.6,75.2,116.2,Rainfed,331.4,4.56,0.73,1.71,22.26,81627,1038653,1817017,778364,4197,5.304,76.1,1.71,42.83746382,0.005303788,317,46660.06289,0.059921156
SF10333,Karnataka,Raichur,Groundnut,Kharif,3.54,707.6,27.9,89.2,7.8,6.75,34.3,132.5,88.2,159.6,Rainfed,199.2,4.97,0.85,2.45,8.67,57291,250741,496713,245972,980,8.847,64.4,2.45,49.51994411,0.008846939,380.3,28920.53057,0.077173913
SF10334,Tamil Nadu,Erode,Pulses,Kharif,9.67,947.9,26.8,64.4,5.8,5.59,29.8,115.6,51.1,46.2,Flood,153.7,6.41,0.67,0.3,2.9,61274,653536,177695,-475841,4255,0.682,63.5,0.3,-267.78525,0.000681551,212.9,225357.2414,0.100944882
SF10335,Telangana,Warangal,Cotton,Rabi,8.26,359,19,51.5,9.4,7.7,26.3,40,20.2,95.3,Flood,237.5,3.9,0.74,0.31,2.56,66614,601583,170532,-431051,7092,0.361,30.4,0.31,-252.7683954,0.00036097,155.5,234993.3594,0.128289474
SF10336,Telangana,Nalgonda,Chilli,Kharif,2.64,956.5,27.9,57.9,7.4,7.74,38.6,40,54.1,81.5,Drip,124.5,4.84,0.88,0.6,1.58,96947,190964,153176,-37788,1562,1.012,55.8,0.6,-24.66966104,0.001011524,175.6,120863.2911,0.086738351
SF10337,Telangana,Warangal,Rice,Rabi,9.57,686.3,26.1,70.3,8.6,6.41,22.8,132.2,63.9,79,Rainfed,212.7,5.19,0.71,3.75,35.89,24394,712789,875501,162712,8495,4.225,55.6,3.75,18.58501589,0.004224838,275.1,19860.37894,0.093345324
SF10338,Karnataka,Raichur,Pulses,Kharif,4.49,1050.8,30.7,77.2,7.8,6.2,32.4,179.1,75.8,82.2,Drip,210.9,4.21,0.8,1.16,5.21,66648,285507,347236,61729,1369,3.806,64.6,1.16,17.7772466,0.003805698,337.1,54799.80806,0.065170279
SF10339,Madhya Pradesh,Indore,Wheat,Kharif,13.89,860.8,28.2,95,7.2,6,31.9,149.1,34.1,103.7,Flood,148.7,5.98,0.82,1.95,27.09,19374,1105642,524842,-580800,10158,2.667,61,1.95,-110.6618754,0.002666864,286.9,40813.65818,0.098032787
SF10340,Andhra Pradesh,Guntur,Rice,Kharif,3.65,970.5,25.5,65.1,7.1,7.68,29.8,122.6,56.2,74.4,Sprinkler,209.6,4.03,0.77,1.01,3.69,22047,238220,81353,-156867,5926,0.623,55.1,1.01,-192.8226371,0.00062268,253.2,64558.26558,0.073139746
SF10341,Andhra Pradesh,Guntur,Rice,Rabi,1.28,185.1,23.4,57.1,6.7,7.14,22.8,149.8,70.7,111.1,Sprinkler,162.8,3.66,1,2.37,3.03,24733,88834,74941,-13893,1802,1.681,44.1,2.37,-18.53858369,0.001681465,331.6,29318.15182,0.082993197
SF10342,Andhra Pradesh,Krishna,Groundnut,Rabi,3.06,637,22.9,59.3,8.7,6.58,20.1,105.2,50.3,96.8,Rainfed,217.6,7.05,0.93,1.66,5.08,56471,195594,286873,91279,732,6.94,47.8,1.66,31.81860963,0.006939891,252.3,38502.75591,0.14748954
SF10343,Gujarat,Rajkot,Sugarcane,Rabi,8.49,80,24.4,60.5,7.4,7.25,25.1,79.5,42.5,89.1,Sprinkler,171.5,3.43,0.68,32.8,278.47,3349,465569,932596,467027,16970,16.41,33.7,32.8,50.0781689,0.016409546,211.1,1671.88207,0.101780415
SF10344,Andhra Pradesh,Krishna,Pulses,Kharif,12.85,851.7,27.3,71.8,7.4,6.23,34.7,88.5,75.1,114,Drip,138.1,3.01,0.78,1.38,17.73,66617,695842,1181119,485277,3412,5.196,57.6,1.38,41.08620723,0.005196366,277.6,39246.5877,0.052256944
SF10345,Punjab,Ludhiana,Cotton,Kharif,1.87,562,29.5,59.7,6,6.69,31.1,121.5,56.9,81.7,Drip,159.2,6.21,0.82,2.28,4.26,68312,131840,291009,159169,1077,3.955,37.6,2.28,54.69555924,0.003955432,260.1,30948.35681,0.165159574
SF10346,Andhra Pradesh,Krishna,Maize,Kharif,11.53,768.8,25.6,71.5,7.9,6.71,32.7,120.2,73,97.8,Rainfed,180.9,1.59,0.93,4.72,54.42,20185,722506,1098468,375962,3831,14.205,65.1,4.72,34.22603116,0.014205168,291,13276.47924,0.024423963
SF10347,Karnataka,Raichur,Wheat,Kharif,4.67,557.9,30.4,79.6,7.3,6.58,23.7,116.5,43.2,163.8,Rainfed,84.3,3.58,0.83,2.33,10.88,23233,237291,252775,15484,1361,7.994,68.1,2.33,6.125605776,0.007994122,323.5,21809.83456,0.05256975
SF10348,Maharashtra,Nashik,Rice,Kharif,4.23,907,31.2,66.9,6.8,6.09,34.8,145.6,57,94.3,Drip,172.4,3.36,0.72,2.53,10.7,22463,276134,240354,-35780,5365,1.994,67.3,2.53,-14.88637593,0.001994408,296.9,25806.91589,0.049925706
SF10349,Madhya Pradesh,Indore,Pulses,Rabi,13.23,312.8,23.2,73,7.3,6.44,13.5,130.7,57,122.2,Flood,209.5,2.15,0.83,1.08,14.29,72779,801427,1040012,238585,6611,2.162,49.4,1.08,22.94060069,0.002161549,309.9,56083.06508,0.043522267
SF10350,Telangana,Nalgonda,Maize,Zaid,2.77,146.7,32.6,61.9,8.8,6.83,20.2,135.5,46.6,95.5,Drip,204.5,1.79,0.76,2.74,7.59,21348,185091,162031,-23060,1494,5.08,38.2,2.74,-14.23184452,0.005080321,277.6,24386.16601,0.046858639
SF10351,Maharashtra,Nashik,Rice,Kharif,2.18,822.5,28.9,85,7,7.47,38.4,134.4,57.2,113.1,Rainfed,104.4,5.35,0.94,1.76,3.84,23459,125890,90083,-35807,1787,2.149,55.6,1.76,-39.74889824,0.002148853,304.7,32783.85417,0.096223022
SF10352,Madhya Pradesh,Indore,Rice,Kharif,12.73,909.6,29.3,79.5,7.6,8.31,29.8,40,96.5,72.6,Flood,219.3,4.6,0.97,0.3,3.82,18814,929221,71869,-857352,22531,0.17,68.8,0.3,-1192.93715,0.000169544,209.1,243251.5707,0.066860465
SF10353,Gujarat,Rajkot,Maize,Zaid,5.58,352,27.9,62.3,9.5,7.46,17.8,136.3,49.8,74,Rainfed,125.8,1.74,0.95,1.42,7.92,25935,296682,205405,-91277,1923,4.119,52.3,1.42,-44.43757455,0.004118565,260.1,37459.84848,0.033269598
SF10354,Maharashtra,Nashik,Maize,Kharif,12.95,268.1,25.6,67.9,6.2,7.04,29.7,80.5,16.5,116.6,Rainfed,162.3,4.53,0.99,2.67,34.58,24570,844970,849631,4661,4344,7.96,42.9,2.67,0.548591094,0.007960405,213.6,24435.22267,0.105594406
SF10355,Andhra Pradesh,Guntur,Cotton,Rabi,4.61,345,25.7,50.1,8.6,7.07,35.8,161.8,15,109.6,Drip,228.8,5.55,0.67,1.51,6.96,74230,353949,516641,162692,2933,2.373,24.8,1.51,31.49033855,0.002372997,286.4,50854.74138,0.223790323
SF10356,Maharashtra,Nashik,Cotton,Kharif,5.1,1011.5,26.1,67.8,5.4,6.14,23.1,104.7,40.3,98.1,Sprinkler,127.8,1.9,0.8,1.29,6.58,63004,315919,414566,98647,4344,1.515,64.1,1.29,23.79524611,0.001514733,243.1,48012.00608,0.029641186
SF10357,Telangana,Nalgonda,Maize,Kharif,2.6,897.6,32.5,50.2,8,6.88,33,103.5,70.1,130.3,Sprinkler,175.9,4.42,0.67,4.14,10.76,18324,161663,197166,35503,1707,6.303,48.5,4.14,18.00665429,0.006303456,303.9,15024.44238,0.091134021
SF10358,Telangana,Warangal,Sugarcane,Rabi,14.74,589.1,24.2,54.5,8,6.81,19.1,151.3,80.3,127.8,Sprinkler,187.3,4.43,0.98,84.75,1249.21,3483,972119,4350998,3378879,23936,52.19,43.8,84.75,77.6575627,0.052189589,359.4,778.1870142,0.101141553
SF10359,Andhra Pradesh,Krishna,Maize,Kharif,9.24,958.2,29,54.6,7.6,6.94,32,150.3,66.7,124.4,Drip,156.4,5.87,0.87,4.56,42.13,18442,562151,776961,214810,4826,8.73,53.4,4.56,27.64746236,0.008729797,341.4,13343.24709,0.109925094
SF10360,Karnataka,Raichur,Chilli,Rabi,13.19,221.2,24.3,53.7,7.5,7.3,17.3,89.5,48.1,147.2,Drip,149.4,4.32,0.94,1.24,16.36,96870,739537,1584793,845256,7742,2.113,30.8,1.24,53.33541983,0.002113149,284.8,45203.97311,0.14025974
SF10361,Telangana,Nalgonda,Wheat,Kharif,0.53,717.9,32.9,94.3,6.7,7.49,33.7,122.6,46.1,87.7,Rainfed,160.9,5.75,0.65,1.21,0.64,23493,40202,15036,-25166,177,3.616,37.5,1.21,-167.3716414,0.003615819,256.4,62815.625,0.153333333
SF10362,Telangana,Warangal,Maize,Rabi,12.28,890.2,23.3,54.3,7.6,6.41,20.7,132.8,55.2,97.9,Rainfed,156.2,8.52,0.83,3.77,46.3,22637,753494,1048093,294599,3016,15.351,34.4,3.77,28.10809728,0.015351459,285.9,16274.16847,0.247674419
SF10363,Gujarat,Rajkot,Rice,Kharif,7.76,621.7,31.3,78.7,6.6,8.31,35.2,139.8,29.1,122.7,Flood,290.6,2.17,0.76,0.3,2.33,25024,579940,58306,-521634,14045,0.166,61.6,0.3,-894.6489212,0.000165895,291.6,248901.2876,0.035227273
SF10364,Gujarat,Rajkot,Maize,Kharif,8.95,1180.1,25.4,65.3,6.8,6.49,40.5,87.5,51.9,90.6,Flood,76.2,4.25,1,3.27,29.27,20802,385486,608875,223389,6307,4.641,57.8,3.27,36.68881133,0.004640875,230,13170.00342,0.073529412
SF10365,Andhra Pradesh,Krishna,Maize,Kharif,3.51,638.5,25.7,73,7.8,7.84,37.1,76.1,77.8,129.4,Rainfed,133.7,3.2,0.78,0.88,3.09,23146,193464,71521,-121943,925,3.341,53.5,0.88,-170.4995736,0.003340541,283.3,62609.70874,0.059813084
SF10366,Gujarat,Rajkot,Maize,Kharif,10.31,1149.3,27.9,66.9,7.1,6.96,33.4,97.1,48.5,110.7,Sprinkler,242.3,7.64,0.67,3.62,37.32,17220,785711,642650,-143061,5679,6.572,40.7,3.62,-22.26110636,0.00657158,256.3,21053.34941,0.187714988
SF10367,Telangana,Nalgonda,Rice,Rabi,1.52,361.3,28.8,41.3,8.2,7.07,22.8,113.5,26.2,75,Flood,40,4.3,0.99,3,4.56,20594,71752,93909,22157,2889,1.578,37.3,3,23.59411771,0.001578401,214.7,15735.08772,0.115281501
SF10368,Telangana,Warangal,Maize,Rabi,7.38,758.1,25.8,66.5,7.1,6.03,11.7,111.2,67.4,71.2,Rainfed,177,5.14,0.91,2.69,19.85,24734,538921,490970,-47951,2365,8.393,54.6,2.69,-9.766584516,0.008393235,249.8,27149.67254,0.094139194
SF10369,Punjab,Ludhiana,Maize,Rabi,6.97,494.6,24.4,49.8,6.9,7.48,22.8,159.1,96.1,125.8,Flood,158.8,4.3,0.98,1.68,11.71,20650,408886,241812,-167074,5493,2.132,45.8,1.68,-69.09251815,0.002131804,381,34917.6772,0.093886463
SF10370,Gujarat,Rajkot,Pulses,Zaid,3.64,511.4,29.9,44.5,7.5,7.59,27,128.3,70.1,105,Drip,154,6.07,0.67,0.58,2.11,65636,220371,138492,-81879,1047,2.015,34.5,0.58,-59.12182653,0.002015282,303.4,104441.2322,0.175942029
SF10371,Telangana,Nalgonda,Chilli,Rabi,4.23,454.8,24.8,64.8,9.3,6.68,25.5,91.5,66.9,139.5,Drip,189.7,5.17,0.72,2.43,10.28,97381,256357,1001077,744720,2225,4.62,38.2,2.43,74.39187995,0.004620225,297.9,24937.45136,0.135340314
SF10372,Karnataka,Raichur,Cotton,Kharif,5.54,961.9,30.1,53.9,5.5,6.06,31.3,106.9,34.8,89.8,Drip,305.4,5.17,0.72,1.01,5.6,73541,429603,411830,-17773,3122,1.794,49.9,1.01,-4.315615667,0.001793722,231.5,76714.82143,0.103607214
SF10373,Punjab,Ludhiana,Wheat,Kharif,8.91,830.6,29.6,75.8,6.1,6.44,33.5,124,67.7,149.6,Flood,269.8,1.13,0.81,3.02,26.91,28373,562055,763517,201462,5995,4.489,61.3,3.02,26.38605296,0.004488741,341.3,20886.47343,0.018433931
SF10374,Tamil Nadu,Erode,Cotton,Rabi,7.73,470.5,24.6,63.9,8.1,6.77,15.8,133,43.8,84.1,Drip,148.5,4.46,0.88,2.16,16.7,68296,466151,1140543,674392,4662,3.582,50.7,2.16,59.12902889,0.003582154,260.9,27913.23353,0.087968442
SF10375,Andhra Pradesh,Krishna,Rice,Rabi,10.35,500.9,27.1,41.6,8.5,6.94,26,70.2,84.1,46.3,Rainfed,225.3,2.95,0.88,3,31.05,19328,643304,600134,-43170,8897,3.49,33.3,3,-7.193393475,0.00348994,200.6,20718.32528,0.088588589
SF10376,Tamil Nadu,Erode,Pulses,Zaid,10.74,80,31.4,55,5.7,6.79,20.5,69.8,50.8,121.1,Rainfed,70.7,3.45,0.85,0.72,7.73,80356,580909,621152,40243,2015,3.836,42.8,0.72,6.478768482,0.003836228,241.7,75149.93532,0.080607477
SF10377,Punjab,Ludhiana,Wheat,Kharif,14.29,872.2,27.3,70.9,5.5,6.65,28.6,193.7,45.4,136.4,Flood,229.2,6.28,0.79,3.74,53.44,26616,1033483,1422359,388876,9456,5.651,46.5,3.74,27.34021439,0.005651438,375.5,19339.12799,0.135053763
SF10378,Andhra Pradesh,Guntur,Chilli,Kharif,1.15,780.6,30.9,73.6,6.1,5.84,28.7,40,60.9,129.9,Rainfed,283.6,2.13,0.97,0.79,0.91,114111,70973,103841,32868,409,2.225,70.4,0.79,31.65223756,0.002224939,230.8,77992.30769,0.030255682
SF10379,Telangana,Warangal,Maize,Kharif,10.2,1003,29.8,85,6.2,6.52,36.7,119,58.3,69.1,Flood,343.2,4.15,0.78,4.1,41.82,22998,779375,961776,182401,8738,4.786,61.4,4.1,18.96501888,0.004785992,246.4,18636.41798,0.067589577
SF10380,Andhra Pradesh,Guntur,Wheat,Kharif,11.77,1071.4,29.4,70.6,6.4,6.21,31,126.9,86.7,112.5,Sprinkler,197.5,0.5,0.71,2.52,29.66,20764,708666,615860,-92806,6853,4.328,67.2,2.52,-15.06933394,0.004328032,326.1,23892.98719,0.007440476
SF10381,Madhya Pradesh,Indore,Maize,Rabi,9.56,126.2,27.6,73.5,8,6.72,29.8,167.9,52.4,63,Sprinkler,183.9,8.14,0.93,3.39,32.41,18968,602709,614753,12044,5404,5.997,36.4,3.39,1.959160834,0.005997409,283.3,18596.39,0.223626374
SF10382,Tamil Nadu,Erode,Pulses,Rabi,6.17,537.3,19.5,69.2,6.5,8.26,23.9,161.8,66.7,168.6,Drip,280.7,3.65,0.87,0.3,1.85,83112,483204,153757,-329447,1840,1.005,40,0.3,-214.2647164,0.001005435,397.1,261191.3514,0.09125
SF10383,Tamil Nadu,Erode,Chilli,Rabi,14.63,332,22.1,69.1,8.1,6.83,18.9,96,43.5,134.5,Flood,179.1,4.43,0.85,2.1,30.72,88550,888938,2720256,1831318,12485,2.461,43.8,2.1,67.3215315,0.002460553,274,28936.78385,0.101141553
SF10384,Tamil Nadu,Erode,Chilli,Kharif,7.75,450.4,32.9,58.7,9.1,7.33,31.7,201.9,62.3,142.7,Flood,246.6,3.83,0.95,1.53,11.86,107332,566160,1272958,706798,6393,1.855,39.2,1.53,55.52406285,0.001855154,406.9,47736.93086,0.097704082
SF10385,Maharashtra,Nashik,Cotton,Kharif,9.06,856.6,26.2,64.3,8.1,7.07,39.9,111.7,73.9,44.4,Rainfed,132.2,6.74,0.7,1.5,13.59,70487,543229,957918,414689,3627,3.747,35.5,1.5,43.29065745,0.003746898,230,39972.70052,0.189859155
SF10386,Telangana,Nalgonda,Wheat,Zaid,3.45,537.2,33,55.7,8.4,6.75,15.8,159.3,63,71.9,Sprinkler,269.1,5.02,0.87,2.96,10.21,21001,308439,214420,-94019,1657,6.162,50.5,2.96,-43.84805522,0.006161738,294.2,30209.50049,0.099405941
SF10387,Madhya Pradesh,Indore,Wheat,Kharif,1.24,995.3,28.5,69.5,6.3,5.83,32.2,148.6,78.3,102.6,Flood,156.6,4.3,0.75,1.05,1.3,21490,74716,27937,-46779,903,1.44,70.8,1.05,-167.4446075,0.001439646,329.5,57473.84615,0.060734463
SF10388,Andhra Pradesh,Guntur,Chilli,Zaid,7.95,263.2,27,48.1,8,6.92,21,131.5,53.1,118.8,Drip,149.6,7.79,1,1.95,15.5,92669,496596,1436370,939774,4385,3.535,28.9,1.95,65.42701393,0.003534778,303.4,32038.45161,0.269550173
SF10389,Andhra Pradesh,Guntur,Pulses,Kharif,13.68,797.9,28.1,73.5,8.2,7.82,30.9,131.9,34.3,120,Sprinkler,235.7,8.03,0.78,0.33,4.51,72226,923634,325739,-597895,5379,0.838,42.9,0.33,-183.5503271,0.000838446,286.2,204796.8958,0.187179487
SF10390,Telangana,Warangal,Groundnut,Rabi,2.22,668,23,44.4,6,6.58,20.9,153.9,78.7,61.3,Flood,95.9,6.41,0.67,2.36,5.24,59022,132630,309275,176645,1343,3.902,36.6,2.36,57.11583542,0.003901713,293.9,25311.0687,0.175136612
SF10391,Telangana,Warangal,Chilli,Rabi,11.2,506,22.8,58.3,8.2,6.12,25,151.9,79.1,97.5,Drip,169.2,4.88,0.69,1.71,19.15,89959,812218,1722715,910497,6816,2.81,32.2,1.71,52.85244512,0.002809566,328.5,42413.47258,0.151552795
SF10392,Telangana,Warangal,Cotton,Rabi,11.29,419.2,20.9,32.1,6.6,6.92,16.4,157.5,41.6,106.2,Drip,188,6.03,0.71,1.44,16.26,71823,861316,1167842,306526,7174,2.267,19.8,1.44,26.24721495,0.002266518,305.3,52971.46371,0.304545455
SF10393,Andhra Pradesh,Krishna,Rice,Rabi,4.56,143.6,22.9,59.9,7.9,5.92,20.8,138.3,41.7,100.8,Flood,247.7,6.31,0.69,1.35,6.16,21354,351602,131541,-220061,8987,0.685,24,1.35,-167.2946078,0.000685435,280.8,57078.24675,0.262916667
SF10394,Maharashtra,Nashik,Cotton,Zaid,3.63,505.2,28.6,52.6,4.9,8.03,21.1,82.3,57,62.7,Sprinkler,174.3,7.2,0.8,0.3,1.09,79549,267215,86708,-180507,2833,0.385,17.8,0.3,-208.1780228,0.000384751,202,245151.3761,0.404494382
SF10395,Telangana,Nalgonda,Cotton,Kharif,8.39,620.2,26.7,70.7,6.9,5.92,30.2,66.4,68,125.3,Drip,226.5,5.32,0.95,0.96,8.05,67373,552210,542353,-9857,6223,1.294,52.4,0.96,-1.817450996,0.001293588,259.7,68597.51553,0.101526718
SF10396,Maharashtra,Nashik,Rice,Zaid,2.2,80,33.9,52.3,7.5,6.49,16,119.6,96.6,115.8,Flood,243.6,4.71,0.7,2.07,4.55,21174,154319,96342,-57977,4502,1.011,43.1,2.07,-60.17832306,0.001010662,332,33916.26374,0.109280742
SF10397,Tamil Nadu,Erode,Cotton,Zaid,3.48,256.7,31,58.6,8.4,5.75,25.2,118.9,35.9,142,Drip,104.8,4.78,0.9,0.43,1.5,68030,236379,102045,-134334,2326,0.645,30.4,0.43,-131.6419227,0.000644884,296.8,157586,0.157236842
SF10398,Andhra Pradesh,Guntur,Wheat,Kharif,5.56,855.5,24.4,84.3,6.5,7.36,35.1,163.2,67,147.4,Drip,298.8,6.1,0.89,2.18,12.12,21494,469824,260507,-209317,2695,4.497,63.2,2.18,-80.34985624,0.004497217,377.6,38764.35644,0.096518987
SF10399,Karnataka,Raichur,Pulses,Kharif,14.75,888.7,27.1,69.7,5.4,7.14,24.9,118.3,57.3,110.4,Sprinkler,204.5,6.85,0.85,1.32,19.47,68200,1133339,1327854,194515,4617,4.217,41.2,1.32,14.64882434,0.004217024,286,58209.5018,0.166262136
SF10400,Tamil Nadu,Erode,Pulses,Kharif,8.67,879.2,26.5,69.9,7.3,6.52,35.8,165.1,41.8,73,Flood,136.6,2.36,0.81,1.47,12.74,70352,620548,896284,275736,4195,3.037,59.5,1.47,30.76435594,0.003036949,279.9,48708.63422,0.039663866
SF10401,Tamil Nadu,Erode,Pulses,Zaid,8.91,521.4,32,43.7,8.6,6.03,21.1,93.1,58,73.4,Rainfed,176.3,2.79,0.87,0.66,5.88,68052,420584,400146,-20438,2007,2.93,39.3,0.66,-5.107635713,0.002929746,224.5,71527.89116,0.070992366
SF10402,Telangana,Warangal,Groundnut,Rabi,1.07,378.6,18.3,57.4,7.6,6.57,30.6,98.2,69.9,100.5,Drip,240.6,5.22,0.66,1.9,2.03,55920,82155,113518,31363,500,4.06,31.9,1.9,27.62821755,0.00406,268.6,40470.44335,0.163636364
SF10403,Telangana,Warangal,Chilli,Kharif,7.78,719,27.3,86.9,7.8,7.58,36.3,128.1,75.2,109.4,Drip,163.7,2.44,0.83,1.43,11.13,106697,466547,1187538,720991,4446,2.503,79.1,1.43,60.71308876,0.002503374,312.7,41917.96945,0.030847029
SF10404,Tamil Nadu,Erode,Pulses,Kharif,3.24,997.5,27.2,75,6,7.45,33.2,123.9,43.4,84.9,Flood,219,5.99,0.77,0.64,2.07,62947,179285,130300,-48985,1540,1.344,56.7,0.64,-37.59401381,0.001344156,252.2,86611.11111,0.105643739
SF10405,Madhya Pradesh,Indore,Groundnut,Kharif,1.25,982.9,28.7,69,7.4,7.58,36.5,63.5,49.1,85.9,Drip,282.5,8.04,0.81,0.71,0.89,56780,88048,50534,-37514,539,1.651,43.3,0.71,-74.2351684,0.001651206,198.5,98930.33708,0.185681293
SF10406,Telangana,Warangal,Rice,Rabi,11.27,357.4,25.8,58.7,8.1,6.22,20.3,98.6,50,111.7,Rainfed,143.8,7.18,0.71,2.46,27.72,17765,730400,492446,-237954,7899,3.509,25.6,2.46,-48.32083112,0.003509305,260.3,26349.20635,0.28046875
SF10407,Andhra Pradesh,Guntur,Wheat,Rabi,6.03,524.3,28.5,39.3,7.1,6.3,25.8,54.5,62.9,130.7,Rainfed,250,1.08,0.69,2.26,13.63,26194,381283,357024,-24259,1820,7.489,45.4,2.26,-6.794781303,0.007489011,248.1,27973.80778,0.023788546
SF10408,Karnataka,Raichur,Wheat,Kharif,14.01,1153.3,29.9,83.9,6.4,7.18,30.5,102.8,42.8,129.7,Drip,179.1,2.85,0.99,1.96,27.46,23786,996586,653164,-343422,6822,4.025,81.1,1.96,-52.57821925,0.004025213,275.3,36292.27968,0.0351418
SF10409,Karnataka,Raichur,Wheat,Kharif,7.12,612.6015666,28.7,67.9,8.1,6.67,23.8,134.8,31.8,110,Drip,246.6,5.94,0.68,3.55,25.28,22480,479043,568294,89251,2902,8.711,42.8,3.55,15.70507519,0.008711234,276.6,18949.48576,0.138785047
SF10410,Karnataka,Raichur,Chilli,Rabi,5.83,408.5,24.5,56.1,8.7,7.19,24.8,107.9,59.1,143.5,Rainfed,102.6,8.25,0.66,1.82,10.61,88133,306404,935091,628687,2117,5.012,38.8,1.82,67.23270783,0.005011809,310.5,28878.79359,0.212628866
SF10411,Karnataka,Raichur,Chilli,Zaid,0.83,494.4,31.3,55.6,6.7,6.89,27.3,160.8,68.9,93.9,Rainfed,124.5,4.92,0.74,1.74,1.44,98537,51450,141893,90443,280,5.143,34.6,1.74,63.74028317,0.005142857,323.6,35729.16667,0.142196532
SF10412,Madhya Pradesh,Indore,Groundnut,Kharif,8.23,690.9,28.8,55.1,7.4,5.98,37.3,124.9,48,114.9,Drip,242.8,0.5,0.73,1.56,12.84,46461,504340,596559,92219,4188,3.066,48,1.56,15.45848776,0.003065903,287.8,39278.8162,0.010416667
SF10413,Punjab,Ludhiana,Rice,Rabi,3.87,291,25.5,67.9,7.2,6.54,31.8,125.2,68.1,141,Rainfed,219.4,1.36,0.96,2.76,10.68,19271,208303,205814,-2489,3402,3.139,44.4,2.76,-1.209344359,0.00313933,334.3,19504.02622,0.030630631
SF10414,Tamil Nadu,Erode,Chilli,Kharif,12.2,1117.2,25.2,62.9,7.5,6.68,30.5,137.6,57.7,133,Drip,214.4,5.63,0.7,2.53,30.87,114738,852962,3541962,2689000,5906,5.227,56.2,2.53,75.91837518,0.005226888,328.3,27630.77421,0.100177936
SF10415,Telangana,Nalgonda,Cotton,Rabi,13.67,370.2,23.4,50.5,6.6,7.18,26.5,137.9,56.5,130.2,Rainfed,225.5,5.35,0.7,1.04,14.22,74137,784240,1054228,269988,5057,2.812,26.4,1.04,25.61001984,0.002811944,324.6,55150.49226,0.202651515
SF10416,Madhya Pradesh,Indore,Groundnut,Kharif,14.89,986.9,30.9,66.4,5.4,8.1,34.5,120,83.3,136,Rainfed,229.2,1.18,0.91,0.3,4.47,55565,934981,248376,-686605,4230,1.057,60.7,0.3,-276.4377396,0.001056738,339.3,209168.0089,0.019439868
